sgemm	0	3145728	45a71dee	60.203129000
sgemm	3	3145728	45a71dee	15.702686000
sgemm	1	3145728	45a71dee	22.462269000
sgemm	2	3145728	45a71dee	65.883224000
sgemm	4	3145728	45a71dee	69.992710000
sgemm	2	3145728	45a71dee	4.214308000
sgemm	1	3145728	45a71dee	47.636331000
sgemm	3	3145728	45a71dee	47.637417000
sgemm	5	3145728	45a71dee	70.107790000
sgemm	0	3145728	45a71dee	47.446414000
sgemm	6	3145728	45a71dee	61.352684000
sgemm	3	3145728	45a71dee	40.221340000
sgemm	6	3145728	45a71dee	30.036371000
sgemm	5	3145728	45a71dee	43.753242000
sgemm	4	3145728	45a71dee	51.321846000
sgemm	6	3145728	45a71dee	7.549949000
sgemm	1	3145728	45a71dee	51.312513000
sgemm	3	3145728	45a71dee	11.095324000
sgemm	2	3145728	45a71dee	51.346792000
sgemm	5	3145728	45a71dee	7.571465000
sgemm	0	3145728	45a71dee	54.144242000
sgemm	2	3145728	45a71dee	27.645013000
sgemm	4	3145728	45a71dee	30.867486000
strsm	3	2097152	e6adb9cb	35.531283000
sgemm	6	3145728	45a71dee	39.150472000
sgemm	5	3145728	45a71dee	39.155022000
strsm	1	2097152	e6adb9cb	42.920548000
sgemm	0	3145728	45a71dee	39.988861000
sgemm	2	3145728	45a71dee	15.335771000
sgemm	3	3145728	45a71dee	7.371258000
sgemm	6	3145728	45a71dee	3.849123000
sgemm	4	3145728	45a71dee	12.147617000
sgemm	0	3145728	45a71dee	33.921530000
sgemm	2	3145728	45a71dee	33.919916000
sgemm	1	3145728	45a71dee	33.916013000
sgemm	3	3145728	45a71dee	33.915202000
sgemm	5	3145728	45a71dee	37.771934000
sgemm	6	3145728	45a71dee	33.933203000
sgemm	5	3145728	45a71dee	38.279590000
strsm	6	2097152	e6adb9cb	38.263383000
sgemm	4	3145728	45a71dee	72.207425000
strsm	3	2097152	e6adb9cb	38.288583000
sgemm	1	3145728	45a71dee	54.769705000
sgemm	6	3145728	45a71dee	21.040120000
sgemm	4	3145728	45a71dee	21.099775000
sgemm	5	3145728	45a71dee	21.099268000
sgemm	0	3145728	45a71dee	66.885149000
sgemm	3	3145728	45a71dee	28.452213000
sgemm	1	3145728	45a71dee	12.074225000
sgemm	2	3145728	45a71dee	85.308317000
sgemm	2	3145728	45a71dee	4.314440000
sgemm	4	3145728	45a71dee	30.201009000
sgemm	5	3145728	45a71dee	30.201844000
sgemm	3	3145728	45a71dee	22.739290000
sgemm	0	3145728	45a71dee	30.142456000
sgemm	6	3145728	45a71dee	38.004920000
sgemm	1	3145728	45a71dee	42.219245000
sgemm	5	3145728	45a71dee	36.769517000
sgemm	3	3145728	45a71dee	36.767070000
sgemm	1	3145728	45a71dee	17.290076000
sgemm	6	3145728	45a71dee	29.004114000
sgemm	4	3145728	45a71dee	36.799129000
