sgetrf_nopiv	2	2359296	c5fba424	93.527816000
sgemm	6	7077888	19cb29ef	76.052322000
sgemm	5	7077888	19cb29ef	76.108352000
sgemm	1	7077888	19cb29ef	77.259731000
sgemm	0	7077888	19cb29ef	123.039437000
sgemm	1	7077888	19cb29ef	46.922937000
sgemm	7	7077888	19cb29ef	123.611700000
sgemm	5	7077888	19cb29ef	88.918308000
sgemm	3	7077888	19cb29ef	165.036889000
sgemm	4	7077888	19cb29ef	89.556202000
sgemm	7	7077888	19cb29ef	71.569297000
sgemm	6	7077888	19cb29ef	119.218766000
sgemm	7	7077888	19cb29ef	64.674539000
sgemm	4	7077888	19cb29ef	94.350466000
sgemm	0	7077888	19cb29ef	137.471964000
sgemm	3	7077888	19cb29ef	95.209585000
sgemm	7	7077888	19cb29ef	48.330183000
sgemm	1	7077888	19cb29ef	184.624084000
sgemm	4	7077888	19cb29ef	48.330809000
sgemm	5	7077888	19cb29ef	165.870035000
sgemm	3	7077888	19cb29ef	70.751652000
sgemm	4	7077888	19cb29ef	96.090870000
sgemm	3	7077888	19cb29ef	81.069674000
sgemm	0	7077888	19cb29ef	152.142367000
sgemm	5	7077888	19cb29ef	81.162588000
sgemm	6	7077888	19cb29ef	216.867073000
sgemm	1	7077888	19cb29ef	103.820572000
sgemm	4	7077888	19cb29ef	7.714893000
sgemm	0	7077888	19cb29ef	70.022504000
sgemm	7	7077888	19cb29ef	168.569082000
sgemm	1	7077888	19cb29ef	70.039585000
sgemm	6	7077888	19cb29ef	70.043233000
sgemm	3	7077888	19cb29ef	70.049027000
sgemm	5	7077888	19cb29ef	60.861220000
sgemm	7	7077888	19cb29ef	46.140382000
sgemm	0	7077888	19cb29ef	46.141511000
sgemm	1	7077888	19cb29ef	46.122195000
sgemm	6	7077888	19cb29ef	46.141445000
sgemm	5	7077888	19cb29ef	46.148632000
sgemm	4	7077888	19cb29ef	116.208374000
sgemm	3	7077888	19cb29ef	36.952996000
sgemm	3	7077888	19cb29ef	85.036810000
sgemm	5	7077888	19cb29ef	83.814606000
sgemm	6	7077888	19cb29ef	85.038965000
sgemm	0	7077888	19cb29ef	85.015266000
sgemm	1	7077888	19cb29ef	85.044362000
sgemm	7	7077888	19cb29ef	85.031817000
sgemm	7	7077888	19cb29ef	15.224724000
sgemm	4	7077888	19cb29ef	100.295367000
sgemm	0	7077888	19cb29ef	47.990982000
strsm	5	4718592	5f1ae26e	53.098926000
strsm	4	4718592	5f1ae26e	48.825928000
strsm	1	4718592	5f1ae26e	63.396003000
strsm	7	4718592	5f1ae26e	48.826229000
strsm	3	4718592	5f1ae26e	63.407660000
sgemm	6	7077888	19cb29ef	64.098125000
strsm	0	4718592	5f1ae26e	16.081628000
sgemm	0	7077888	19cb29ef	49.657719000
sgemm	6	7077888	19cb29ef	49.739349000
sgemm	5	7077888	19cb29ef	60.654412000
sgemm	7	7077888	19cb29ef	49.575762000
sgemm	4	7077888	19cb29ef	49.576561000
sgemm	3	7077888	19cb29ef	57.493959000
sgemm	5	7077888	19cb29ef	7.803881000
sgemm	1	7077888	19cb29ef	57.511524000
sgemm	0	7077888	19cb29ef	55.634282000
sgemm	5	7077888	19cb29ef	47.792340000
sgemm	6	7077888	19cb29ef	55.617082000
sgemm	4	7077888	19cb29ef	55.627072000
sgemm	1	7077888	19cb29ef	48.323786000
sgemm	4	7077888	19cb29ef	36.709962000
sgemm	7	7077888	19cb29ef	92.367460000
sgemm	1	7077888	19cb29ef	37.158939000
sgemm	6	7077888	19cb29ef	48.280577000
sgemm	0	7077888	19cb29ef	71.863914000
sgemm	7	7077888	19cb29ef	35.817471000
sgemm	5	7077888	19cb29ef	84.733724000
sgemm	0	7077888	19cb29ef	25.076455000
sgemm	4	7077888	19cb29ef	130.839676000
sgemm	1	7077888	19cb29ef	129.902867000
sgemm	7	7077888	19cb29ef	94.992443000
sgemm	6	7077888	19cb29ef	119.268642000
sgemm	3	7077888	19cb29ef	215.449627000
sgemm	5	7077888	19cb29ef	144.559447000
sgemm	0	7077888	19cb29ef	132.327963000
sgemm	6	7077888	19cb29ef	50.720325000
sgemm	3	7077888	19cb29ef	61.681996000
sgemm	7	7077888	19cb29ef	61.724988000
sgemm	1	7077888	19cb29ef	61.756995000
sgemm	4	7077888	19cb29ef	63.160696000
sgemm	0	7077888	19cb29ef	14.251125000
sgemm	7	7077888	19cb29ef	35.395799000
sgemm	1	7077888	19cb29ef	67.956687000
sgemm	4	7077888	19cb29ef	66.916411000
sgemm	3	7077888	19cb29ef	87.233996000
sgemm	1	7077888	19cb29ef	28.487547000
sgemm	6	7077888	19cb29ef	108.274873000
sgemm	4	7077888	19cb29ef	64.822540000
sgemm	5	7077888	19cb29ef	133.581031000
sgemm	6	7077888	19cb29ef	48.903932000
sgemm	7	7077888	19cb29ef	156.577172000
sgemm	0	7077888	19cb29ef	179.302521000
sgemm	6	7077888	19cb29ef	47.950097000
sgemm	1	7077888	19cb29ef	132.484293000
sgemm	0	7077888	19cb29ef	35.426015000
sgemm	4	7077888	19cb29ef	137.031099000
sgemm	6	7077888	19cb29ef	65.034068000
sgemm	0	7077888	19cb29ef	41.217153000
sgemm	3	7077888	19cb29ef	193.285151000
sgemm	0	7077888	19cb29ef	42.980568000
