57965, sgetrf_nopiv, M768x768x4, 2359296,
58336, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58337, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58338, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58339, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58340, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58341, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58342, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58343, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58344, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58345, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58346, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58347, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58348, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58349, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58350, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58351, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58352, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58353, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58354, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58355, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58356, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58357, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58358, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58359, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58360, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58361, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58362, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58363, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58364, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58365, strsm, M768x768x4_M768x768x4, 4718592,
58366, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58367, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58368, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58369, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58370, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58371, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58372, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58373, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58374, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
