sgemm	7	3145728	45a71dee	112.951240000
sgemm	5	3145728	45a71dee	48.057756000
sgemm	4	3145728	45a71dee	48.040691000
sgemm	6	3145728	45a71dee	48.066195000
sgemm	2	3145728	45a71dee	42.043923000
sgemm	4	3145728	45a71dee	42.044091000
sgemm	7	3145728	45a71dee	42.044055000
sgemm	0	3145728	45a71dee	107.306187000
sgemm	4	3145728	45a71dee	21.532652000
sgemm	3	3145728	45a71dee	111.687361000
sgemm	6	3145728	45a71dee	63.586583000
sgemm	5	3145728	45a71dee	63.603001000
sgemm	2	3145728	45a71dee	21.539134000
sgemm	7	3145728	45a71dee	29.477424000
sgemm	0	3145728	45a71dee	12.305481000
sgemm	3	3145728	45a71dee	31.976654000
sgemm	4	3145728	45a71dee	31.977323000
sgemm	5	3145728	45a71dee	31.971699000
sgemm	6	3145728	45a71dee	31.959172000
sgemm	7	3145728	45a71dee	47.859114000
sgemm	4	3145728	45a71dee	21.800834000
sgemm	2	3145728	45a71dee	55.804523000
sgemm	5	3145728	45a71dee	23.793185000
sgemm	0	3145728	45a71dee	47.865389000
sgemm	4	3145728	45a71dee	24.019775000
sgemm	3	3145728	45a71dee	47.726172000
sgemm	6	3145728	45a71dee	47.844082000
sgemm	5	3145728	45a71dee	20.386151000
sgemm	2	3145728	45a71dee	24.027429000
sgemm	0	3145728	45a71dee	48.042996000
sgemm	4	3145728	45a71dee	24.109557000
sgemm	2	3145728	45a71dee	24.110021000
sgemm	7	3145728	45a71dee	47.969745000
sgemm	5	3145728	45a71dee	21.664782000
sgemm	6	3145728	45a71dee	24.110957000
sgemm	0	3145728	45a71dee	63.213352000
sgemm	2	3145728	45a71dee	63.110926000
sgemm	7	3145728	45a71dee	70.035919000
sgemm	6	3145728	45a71dee	108.004497000
sgemm	3	3145728	45a71dee	134.268678000
sgemm	0	3145728	45a71dee	69.626798000
sgemm	5	3145728	45a71dee	135.230078000
sgemm	4	3145728	45a71dee	140.344820000
sgemm	2	3145728	45a71dee	79.801921000
sgemm	7	3145728	45a71dee	72.884201000
sgemm	5	3145728	45a71dee	7.678819000
sgemm	6	3145728	45a71dee	39.924260000
sgemm	0	3145728	45a71dee	15.189645000
sgemm	4	3145728	45a71dee	7.634325000
sgemm	3	3145728	45a71dee	37.702642000
sgemm	2	3145728	45a71dee	5.752867000
sgemm	7	3145728	45a71dee	42.286958000
sgemm	4	3145728	45a71dee	37.269878000
sgemm	6	3145728	45a71dee	37.290707000
sgemm	5	3145728	45a71dee	42.313093000
sgemm	4	3145728	45a71dee	10.622179000
strsm	7	2097152	e6adb9cb	10.645463000
sgemm	5	3145728	45a71dee	10.617039000
sgemm	2	3145728	45a71dee	47.167737000
sgemm	0	3145728	45a71dee	47.962253000
strsm	3	2097152	e6adb9cb	48.060210000
sgemm	0	3145728	45a71dee	41.205641000
sgemm	6	3145728	45a71dee	51.865182000
sgemm	3	3145728	45a71dee	40.979625000
sgemm	5	3145728	45a71dee	41.224216000
strsm	2	2097152	e6adb9cb	41.231778000
sgemm	7	3145728	45a71dee	41.116348000
sgemm	4	3145728	45a71dee	41.770788000
sgemm	6	3145728	45a71dee	30.587839000
sgemm	0	3145728	45a71dee	30.783460000
sgemm	3	3145728	45a71dee	30.758912000
