sgemm	5	11059200	24c84a50	203.875859000
sgemm	6	11059200	24c84a50	57.800411000
sgemm	0	11059200	24c84a50	58.713219000
sgemm	1	11059200	24c84a50	194.482617000
sgemm	2	11059200	24c84a50	192.782691000
sgemm	3	11059200	24c84a50	196.262574000
sgemm	4	11059200	24c84a50	189.590193000
sgemm	0	11059200	24c84a50	137.582711000
sgemm	2	11059200	24c84a50	23.803279000
sgemm	1	11059200	24c84a50	49.766776000
sgemm	1	11059200	24c84a50	88.546428000
sgemm	6	11059200	24c84a50	275.190339000
sgemm	5	11059200	24c84a50	275.209721000
sgemm	2	11059200	24c84a50	112.928062000
sgemm	0	11059200	24c84a50	137.230374000
sgemm	6	11059200	24c84a50	70.868552000
sgemm	3	11059200	24c84a50	207.604351000
strsm	1	7372800	ff82dda0	70.855892000
sgemm	4	11059200	24c84a50	208.775793000
sgemm	6	11059200	24c84a50	135.433764000
ssyrk	5	7372800	ff82dda0	206.321982000
sgemm	4	11059200	24c84a50	134.274406000
sgemm	2	11059200	24c84a50	206.996798000
sgemm	1	11059200	24c84a50	168.161149000
sgemm	6	11059200	24c84a50	33.004175000
sgemm	3	11059200	24c84a50	168.456398000
sgemm	4	11059200	24c84a50	33.006150000
sgemm	0	11059200	24c84a50	238.857344000
sgemm	1	11059200	24c84a50	86.167622000
sgemm	2	11059200	24c84a50	118.319093000
strsm	0	7372800	ff82dda0	85.952856000
sgemm	6	11059200	24c84a50	85.989806000
sgemm	3	11059200	24c84a50	87.379170000
ssyrk	4	7372800	ff82dda0	96.125982000
sgemm	3	11059200	24c84a50	46.079010000
sgemm	1	11059200	24c84a50	48.784082000
sgemm	4	11059200	24c84a50	76.592050000
sgemm	3	11059200	24c84a50	71.797548000
sgemm	4	11059200	24c84a50	32.727628000
sgemm	2	11059200	24c84a50	119.480798000
ssyrk	0	7372800	ff82dda0	171.201489000
sgemm	5	11059200	24c84a50	290.252172000
sgemm	6	11059200	24c84a50	171.875472000
sgemm	1	11059200	24c84a50	182.400254000
sgemm	4	11059200	24c84a50	111.690293000
sgemm	6	11059200	24c84a50	91.747316000
sgemm	0	11059200	24c84a50	92.296018000
sgemm	3	11059200	24c84a50	144.321590000
sgemm	2	11059200	24c84a50	203.518421000
sgemm	4	11059200	24c84a50	91.778483000
sgemm	5	11059200	24c84a50	151.725174000
sgemm	0	11059200	24c84a50	130.180128000
sgemm	3	11059200	24c84a50	130.177524000
sgemm	5	11059200	24c84a50	70.777366000
sgemm	1	11059200	24c84a50	162.601737000
sgemm	2	11059200	24c84a50	95.321430000
sgemm	6	11059200	24c84a50	397.191259000
sgemm	2	11059200	24c84a50	416.509032000
sgemm	3	11059200	24c84a50	441.676353000
strsm	5	7372800	ff82dda0	441.657205000
sgemm	0	11059200	24c84a50	441.674521000
sgemm	1	11059200	24c84a50	457.732780000
sgemm	6	11059200	24c84a50	191.026305000
sgemm	4	11059200	24c84a50	528.837111000
sgemm	2	11059200	24c84a50	16.359476000
sgemm	2	11059200	24c84a50	86.216776000
sgemm	3	11059200	24c84a50	102.582378000
ssyrk	5	7372800	ff82dda0	102.446530000
sgemm	6	11059200	24c84a50	92.350496000
sgemm	4	11059200	24c84a50	110.558486000
sgemm	2	11059200	24c84a50	48.747662000
sgemm	5	11059200	24c84a50	68.523399000
sgemm	2	11059200	24c84a50	47.112855000
sgemm	6	11059200	24c84a50	192.009854000
sgemm	2	11059200	24c84a50	176.846286000
sgemm	3	11059200	24c84a50	272.696497000
sgemm	0	11059200	24c84a50	375.359613000
sgemm	1	11059200	24c84a50	359.306651000
sgemm	4	11059200	24c84a50	248.438151000
sgemm	6	11059200	24c84a50	74.557576000
sgemm	3	11059200	24c84a50	84.790145000
sgemm	2	11059200	24c84a50	84.796364000
sgemm	5	11059200	24c84a50	288.973275000
sgemm	1	11059200	24c84a50	84.869611000
sgemm	5	11059200	24c84a50	50.130945000
sgemm	6	11059200	24c84a50	133.195678000
sgemm	4	11059200	24c84a50	160.055135000
sgemm	2	11059200	24c84a50	101.737783000
sgemm	2	11059200	24c84a50	101.709172000
sgemm	3	11059200	24c84a50	203.463555000
sgemm	5	11059200	24c84a50	153.252434000
sgemm	5	11059200	24c84a50	26.842474000
sgemm	0	11059200	24c84a50	339.770439000
sgemm	0	11059200	24c84a50	70.740013000
sgemm	1	11059200	24c84a50	326.562692000
sgemm	2	11059200	24c84a50	202.843031000
