3330, sasum, M320x320x4_M320x1x4, 410880,
3331, sasum, M320x320x4_M320x1x4, 410880,
3332, sasum, M320x320x4_M320x1x4, 410880,
3333, sasum, M320x320x4_M320x1x4, 410880,
3334, sasum, M320x320x4_M320x1x4, 410880,
3335, sasum, M320x320x4_M320x1x4, 410880,
3336, sasum, M320x320x4_M320x1x4, 410880,
3337, sasum, M320x320x4_M320x1x4, 410880,
3338, sasum, M320x320x4_M320x1x4, 410880,
3339, slaset, M320x1x4, 1280,
3340, sgeadd, M320x1x4_M320x1x4, 2560,
3341, sgeadd, M320x1x4_M320x1x4, 2560,
3342, sgeadd, M320x1x4_M320x1x4, 2560,
3343, sgeadd, M320x1x4_M320x1x4, 2560,
3344, sgeadd, M320x1x4_M320x1x4, 2560,
3345, sgeadd, M320x1x4_M320x1x4, 2560,
3346, sgeadd, M320x1x4_M320x1x4, 2560,
3347, sgeadd, M320x1x4_M320x1x4, 2560,
3348, sgeadd, M320x1x4_M320x1x4, 2560,
3349, sgeadd, M320x1x4_M320x1x4, 2560,
3350, sgeadd, M320x1x4_M320x1x4, 2560,
3351, sgeadd, M320x1x4_M320x1x4, 2560,
3352, sgeadd, M320x1x4_M320x1x4, 2560,
3353, sgeadd, M320x1x4_M320x1x4, 2560,
3354, sgeadd, M320x1x4_M320x1x4, 2560,
3355, sgeadd, M320x1x4_M320x1x4, 2560,
3356, sgeadd, M320x1x4_M320x1x4, 2560,
3357, sgeadd, M320x1x4_M320x1x4, 2560,
3358, sgeadd, M320x1x4_M320x1x4, 2560,
3359, sgeadd, M320x1x4_M320x1x4, 2560,
3360, slange, M320x1x4_V320x1_M320x1x4, 2880,
3361, slaset, M320x1x4, 1280,
3362, slaset, M320x1x4, 1280,
3363, slaset, M320x1x4, 1280,
3364, slaset, M320x1x4, 1280,
3365, slaset, M320x1x4, 1280,
3366, slaset, M320x1x4, 1280,
3367, slaset, M320x1x4, 1280,
3368, slaset, M320x1x4, 1280,
3369, slaset, M320x1x4, 1280,
3370, slaset, M320x1x4, 1280,
3371, slaset, M320x1x4, 1280,
3372, slaset, M320x1x4, 1280,
3373, slaset, M320x1x4, 1280,
3374, slaset, M320x1x4, 1280,
3375, slaset, M320x1x4, 1280,
3376, slaset, M320x1x4, 1280,
3377, slaset, M320x1x4, 1280,
3378, slaset, M320x1x4, 1280,
3379, slaset, M320x1x4, 1280,
3380, slaset, M320x1x4, 1280,
3381, sasum, M320x320x4_M320x1x4, 410880,
3382, sasum, M320x320x4_M320x1x4, 410880,
3383, sasum, M320x320x4_M320x1x4, 410880,
3384, sasum, M320x320x4_M320x1x4, 410880,
3385, sasum, M320x320x4_M320x1x4, 410880,
3386, sasum, M320x320x4_M320x1x4, 410880,
3387, sasum, M320x320x4_M320x1x4, 410880,
3388, sasum, M320x320x4_M320x1x4, 410880,
3389, sasum, M320x320x4_M320x1x4, 410880,
3390, sasum, M320x320x4_M320x1x4, 410880,
3391, sasum, M320x320x4_M320x1x4, 410880,
3392, sasum, M320x320x4_M320x1x4, 410880,
3393, sasum, M320x320x4_M320x1x4, 410880,
3394, sasum, M320x320x4_M320x1x4, 410880,
3395, sasum, M320x320x4_M320x1x4, 410880,
3396, sasum, M320x320x4_M320x1x4, 410880,
3397, sasum, M320x320x4_M320x1x4, 410880,
3398, sasum, M320x320x4_M320x1x4, 410880,
3399, sasum, M320x320x4_M320x1x4, 410880,
3400, sasum, M320x320x4_M320x1x4, 410880,
3401, slaset, M320x1x4, 1280,
3402, sgeadd, M320x1x4_M320x1x4, 2560,
3403, sgeadd, M320x1x4_M320x1x4, 2560,
3404, sgeadd, M320x1x4_M320x1x4, 2560,
3405, sgeadd, M320x1x4_M320x1x4, 2560,
3406, sgeadd, M320x1x4_M320x1x4, 2560,
3407, sgeadd, M320x1x4_M320x1x4, 2560,
3408, sgeadd, M320x1x4_M320x1x4, 2560,
3409, sgeadd, M320x1x4_M320x1x4, 2560,
3410, sgeadd, M320x1x4_M320x1x4, 2560,
3411, sgeadd, M320x1x4_M320x1x4, 2560,
3412, sgeadd, M320x1x4_M320x1x4, 2560,
3413, sgeadd, M320x1x4_M320x1x4, 2560,
